InChI,SMILES,Count
ABRIEBVNDATVMF-CQSZACIVSA-N,O=C1CCCC=CCCCCC(=O)N2CCNC[C@@H]2CN1,4
ABTHZKLJIOBKIO-NEPJUHHUSA-N,O=C1C[C@H]2CC3(CCOCC3)CN2C(=O)[C@@H]2CCN1C2,2
ABTHZKLJIOBKIO-NWDGAFQWSA-N,O=C1C[C@@H]2CC3(CCOCC3)CN2C(=O)[C@H]2CCN1C2,2
ABTHZKLJIOBKIO-RYUDHWBXSA-N,O=C1C[C@H]2CC3(CCOCC3)CN2C(=O)[C@H]2CCN1C2,2
ABTHZKLJIOBKIO-UHFFFAOYSA-N,O=C1CC2CC3(CCOCC3)CN2C(=O)C2CCN1C2,2
ABTHZKLJIOBKIO-VXGBXAGGSA-N,O=C1C[C@@H]2CC3(CCOCC3)CN2C(=O)[C@@H]2CCN1C2,2
ABTJGICLONVDHS-UHFFFAOYSA-N,N=c1[nH]cnc2c1oc1ncc3c(c12)CCCC3,4
ABTKVKVCUDZNQD-UHFFFAOYSA-L,O=C1CCS[Sn]O1,6
ABUAHKLDPPRHEX-UHFFFAOYSA-N,O=C1NCCCc2nc3c(cc21)sc1ncccc13,10
ABVBBDIEXVDUMZ-UHFFFAOYSA-N,O=C1CCN2CCCCCCN12,4
ABVGDXLCJRFCOD-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2[nH]cnc21,40
ABVGDXLCJRFCOD-UHFFFAOYSA-O,O=C1c2ccccc2C(=O)c2[nH+]c[nH]c21,4
ABVIUNPDAZDOST-UHFFFAOYSA-N,C1=NNc2nc3ccccc3n2C1,8
ABVKXAZYAAMRSZ-UHFFFAOYSA-N,O=C1CNCC(=O)N2CCCN12,10
ABWVVKLWQISHIS-GFCCVEGCSA-N,O=C1CCC[C@]2(C1)NCCc1c[nH]cc12,2
ABWVVKLWQISHIS-LBPRGKRZSA-N,O=C1CCC[C@@]2(C1)NCCc1c[nH]cc12,2
ABXBONNNAVQNSO-UHFFFAOYSA-N,O=C1OCCc2cc3ccccc3cc21,2
ABXWIIZUJNCEQW-UHFFFAOYSA-N,O=c1c2ccccc2nc2[nH]cnn12,10
ABYRDCRZACWVLR-CBAPKCEASA-N,C=C1CC[C@H]2C=CC(=O)[C@@H]12,2
ABYRDCRZACWVLR-VXNVDRBHSA-N,C=C1CC[C@@H]2C=CC(=O)[C@H]12,2
ABYRULNPYCZNOI-UHFFFAOYSA-N,O=C1CC2(CCCNC2)C1,6
